顧客ID,購買金額,購買金額平均,購買金額Mランク,購買頻度,購買頻度平均,購買頻度Fランク,最新購買日,最新購買日Rランク,新規顧客,人数
C107694,31118,31118,M5,3,3,F2,2019/5/26,R3,No,1
C107702,35891,35891,M5,3,3,F2,2019/5/26,R3,No,1
C107776,32816,32816,M5,2,2,F1,2019/5/26,R3,No,1
C108124,39524,39524,M5,2,2,F1,2019/5/26,R3,No,1
C108556,32498,32498,M5,2,2,F1,2019/5/26,R3,No,1
C108568,46643,46643,M5,2,2,F1,2019/5/26,R3,No,1
C108602,30089,30089,M5,2,2,F1,2019/5/26,R3,No,1
C108656,37693,37693,M5,2,2,F1,2019/5/26,R3,No,1
C108856,45858,45858,M5,2,2,F1,2019/5/26,R3,No,1
C110068,31443,31443,M5,2,2,F1,2019/5/26,R3,No,1
C110412,34928,34928,M5,2,2,F1,2019/5/26,R3,No,1
C111390,31177,31177,M5,2,2,F1,2019/5/26,R3,No,1
C111484,35231,35231,M5,2,2,F1,2019/5/26,R3,No,1
C113960,30433,30433,M5,2,2,F1,2019/5/26,R3,No,1
C102458,2442,2442,M1,3,3,F2,2019/5/27,R3,No,1
C102864,4831,4831,M1,3,3,F2,2019/5/27,R3,No,1
C103458,1411,1411,M1,3,3,F2,2019/5/27,R3,No,1
C103678,3951,3951,M1,3,3,F2,2019/5/27,R3,No,1
C104266,1083,1083,M1,3,3,F2,2019/5/27,R3,No,1
C104728,434,434,M1,3,3,F2,2019/5/27,R3,No,1
C104928,1342,1342,M1,3,3,F2,2019/5/27,R3,No,1
C105022,1810,1810,M1,3,3,F2,2019/5/27,R3,No,1
C105922,4890,4890,M1,3,3,F2,2019/5/27,R3,No,1
C107152,1926,1926,M1,3,3,F2,2019/5/27,R3,No,1
C107520,4598,4598,M1,3,3,F2,2019/5/27,R3,No,1
C108202,3113,3113,M1,2,2,F1,2019/5/27,R3,No,1
C108438,2047,2047,M1,2,2,F1,2019/5/27,R3,No,1
C108580,4795,4795,M1,2,2,F1,2019/5/27,R3,No,1
C108776,3168,3168,M1,2,2,F1,2019/5/27,R3,No,1
C109346,3987,3987,M1,2,2,F1,2019/5/27,R3,No,1
C109422,3227,3227,M1,2,2,F1,2019/5/27,R3,No,1
C110038,3048,3048,M1,2,2,F1,2019/5/27,R3,No,1
C110052,3558,3558,M1,2,2,F1,2019/5/27,R3,No,1
C110158,2149,2149,M1,2,2,F1,2019/5/27,R3,No,1
C110450,2252,2252,M1,2,2,F1,2019/5/27,R3,No,1
C110582,1637,1637,M1,2,2,F1,2019/5/27,R3,No,1
C110588,4643,4643,M1,2,2,F1,2019/5/27,R3,No,1
C110602,1635,1635,M1,2,2,F1,2019/5/27,R3,No,1
C110720,4889,4889,M1,2,2,F1,2019/5/27,R3,No,1
C110792,2275,2275,M1,2,2,F1,2019/5/27,R3,No,1
C111164,4909,4909,M1,2,2,F1,2019/5/27,R3,No,1
C111356,4629,4629,M1,2,2,F1,2019/5/27,R3,No,1
C111418,2695,2695,M1,2,2,F1,2019/5/27,R3,No,1
C111548,761,761,M1,2,2,F1,2019/5/27,R3,No,1
C111556,2453,2453,M1,2,2,F1,2019/5/27,R3,No,1
C111914,296,296,M1,2,2,F1,2019/5/27,R3,No,1
C111974,1835,1835,M1,2,2,F1,2019/5/27,R3,No,1
C112086,4241,4241,M1,2,2,F1,2019/5/27,R3,No,1
C112156,2080,2080,M1,2,2,F1,2019/5/27,R3,No,1
C113002,2212,2212,M1,2,2,F1,2019/5/27,R3,No,1
C113008,4079,4079,M1,2,2,F1,2019/5/27,R3,No,1
C113276,1407,1407,M1,2,2,F1,2019/5/27,R3,No,1
C113410,4747,4747,M1,2,2,F1,2019/5/27,R3,No,1
C114112,2202,2202,M1,2,2,F1,2019/5/27,R3,No,1
C111170,7994,7994,M2,2,2,F1,2019/5/12,R1,No,1
C111400,5051,5051,M2,2,2,F1,2019/5/12,R1,No,1
C111502,7276,7276,M2,2,2,F1,2019/5/12,R1,No,1
C111724,5477,5477,M2,2,2,F1,2019/5/12,R1,No,1
C111956,7539,7539,M2,2,2,F1,2019/5/12,R1,No,1
C112374,8054,8054,M2,2,2,F1,2019/5/12,R1,No,1
C112446,5787,5787,M2,2,2,F1,2019/5/12,R1,No,1
C112608,5234,5234,M2,2,2,F1,2019/5/12,R1,No,1
C112952,5142,5142,M2,2,2,F1,2019/5/12,R1,No,1
C113124,6608,6608,M2,2,2,F1,2019/5/12,R1,No,1
C113718,5412,5412,M2,2,2,F1,2019/5/12,R1,No,1
C113764,8760,8760,M2,2,2,F1,2019/5/12,R1,No,1
C114096,6629,6629,M2,2,2,F1,2019/5/12,R1,No,1
C114744,9401,9401,M2,2,2,F1,2019/5/12,R1,No,1
C101900,15532,15532,M3,3,3,F2,2019/5/12,R1,No,1
C102252,15423,15423,M3,3,3,F2,2019/5/12,R1,No,1
C102562,11207,11207,M3,3,3,F2,2019/5/12,R1,No,1
C102598,12591,12591,M3,3,3,F2,2019/5/12,R1,No,1
C103938,17623,17623,M3,3,3,F2,2019/5/12,R1,No,1
C104122,14901,14901,M3,3,3,F2,2019/5/12,R1,No,1
C104130,18759,18759,M3,3,3,F2,2019/5/12,R1,No,1
C104364,17459,17459,M3,3,3,F2,2019/5/12,R1,No,1
C105264,11343,11343,M3,3,3,F2,2019/5/12,R1,No,1
C106044,13252,13252,M3,3,3,F2,2019/5/12,R1,No,1
C106322,13787,13787,M3,3,3,F2,2019/5/12,R1,No,1
C106510,19680,19680,M3,3,3,F2,2019/5/12,R1,No,1
C106900,19697,19697,M3,3,3,F2,2019/5/12,R1,No,1
C107960,18960,18960,M3,2,2,F1,2019/5/12,R1,No,1
C108284,11705,11705,M3,2,2,F1,2019/5/12,R1,No,1
C108624,11826,11826,M3,2,2,F1,2019/5/12,R1,No,1
C108884,12849,12849,M3,2,2,F1,2019/5/12,R1,No,1
C108896,16783,16783,M3,2,2,F1,2019/5/12,R1,No,1
C109158,17512,17512,M3,2,2,F1,2019/5/12,R1,No,1
C109408,12412,12412,M3,2,2,F1,2019/5/12,R1,No,1
C109742,19060,19060,M3,2,2,F1,2019/5/12,R1,No,1
C110056,10201,10201,M3,2,2,F1,2019/5/12,R1,No,1
C110274,17229,17229,M3,2,2,F1,2019/5/12,R1,No,1
C110372,15018,15018,M3,2,2,F1,2019/5/12,R1,No,1
C110426,14698,14698,M3,2,2,F1,2019/5/12,R1,No,1
C110496,15249,15249,M3,2,2,F1,2019/5/12,R1,No,1
C110542,16577,16577,M3,2,2,F1,2019/5/12,R1,No,1
C110888,13987,13987,M3,2,2,F1,2019/5/12,R1,No,1
C111034,12795,12795,M3,2,2,F1,2019/5/12,R1,No,1
C111628,19490,19490,M3,2,2,F1,2019/5/12,R1,No,1
C111980,13792,13792,M3,2,2,F1,2019/5/12,R1,No,1
C112884,13709,13709,M3,2,2,F1,2019/5/12,R1,No,1
C112892,15572,15572,M3,2,2,F1,2019/5/12,R1,No,1
C112968,13520,13520,M3,2,2,F1,2019/5/12,R1,No,1
C113050,11361,11361,M3,2,2,F1,2019/5/12,R1,No,1
C113164,19862,19862,M3,2,2,F1,2019/5/12,R1,No,1
C113316,17793,17793,M3,2,2,F1,2019/5/12,R1,No,1
C113586,15229,15229,M3,2,2,F1,2019/5/12,R1,No,1
C113936,19924,19924,M3,2,2,F1,2019/5/12,R1,No,1
C114054,16883,16883,M3,2,2,F1,2019/5/12,R1,No,1
C114118,18021,18021,M3,2,2,F1,2019/5/12,R1,No,1
C114204,13047,13047,M3,2,2,F1,2019/5/12,R1,No,1
C103068,27103,27103,M4,3,3,F2,2019/5/12,R1,No,1
C103436,26111,26111,M4,3,3,F2,2019/5/12,R1,No,1
C103604,29085,29085,M4,3,3,F2,2019/5/12,R1,No,1
C103730,20991,20991,M4,3,3,F2,2019/5/12,R1,No,1
C105040,27512,27512,M4,3,3,F2,2019/5/12,R1,No,1
C105278,28764,28764,M4,3,3,F2,2019/5/12,R1,No,1
C105834,20956,20956,M4,3,3,F2,2019/5/12,R1,No,1
C107442,25963,25963,M4,3,3,F2,2019/5/12,R1,No,1
C107722,29353,29353,M4,2,2,F1,2019/5/12,R1,No,1
C107976,22494,22494,M4,2,2,F1,2019/5/12,R1,No,1
C108670,25107,25107,M4,2,2,F1,2019/5/12,R1,No,1
C110224,20213,20213,M4,2,2,F1,2019/5/12,R1,No,1
C110986,26177,26177,M4,2,2,F1,2019/5/12,R1,No,1
C111404,21653,21653,M4,2,2,F1,2019/5/12,R1,No,1
C111448,26835,26835,M4,2,2,F1,2019/5/12,R1,No,1
C112640,20252,20252,M4,2,2,F1,2019/5/12,R1,No,1
C113088,25191,25191,M4,2,2,F1,2019/5/12,R1,No,1
C113110,20220,20220,M4,2,2,F1,2019/5/12,R1,No,1
C113568,23184,23184,M4,2,2,F1,2019/5/12,R1,No,1
C114182,20689,20689,M4,2,2,F1,2019/5/12,R1,No,1
C114232,25699,25699,M4,2,2,F1,2019/5/12,R1,No,1
C114358,23454,23454,M4,2,2,F1,2019/5/12,R1,No,1
C114804,27814,27814,M4,2,2,F1,2019/5/12,R1,No,1
C100164,52463,52463,M5,5,5,F3,2019/5/12,R1,No,1
C100304,39231,39231,M5,4,4,F3,2019/5/12,R1,No,1
C102444,31165,31165,M5,3,3,F2,2019/5/12,R1,No,1
C102516,32244,32244,M5,3,3,F2,2019/5/12,R1,No,1
C102826,55842,55842,M5,4,4,F3,2019/5/12,R1,No,1
C102966,31287,31287,M5,3,3,F2,2019/5/12,R1,No,1
C104598,37849,37849,M5,3,3,F2,2019/5/12,R1,No,1
C104850,57247,57247,M5,3,3,F2,2019/5/12,R1,No,1
C105016,43378,43378,M5,3,3,F2,2019/5/12,R1,No,1
C105198,36882,36882,M5,3,3,F2,2019/5/12,R1,No,1
C107586,46077,46077,M5,3,3,F2,2019/5/12,R1,No,1
C108956,39961,39961,M5,2,2,F1,2019/5/12,R1,No,1
C109150,37345,37345,M5,2,2,F1,2019/5/12,R1,No,1
C111406,33267,33267,M5,2,2,F1,2019/5/12,R1,No,1
C111978,37448,37448,M5,2,2,F1,2019/5/12,R1,No,1
C114092,31728,31728,M5,2,2,F1,2019/5/12,R1,No,1
C103966,2529,2529,M1,3,3,F2,2019/5/13,R1,No,1
C104234,3907,3907,M1,3,3,F2,2019/5/13,R1,No,1
C104418,3058,3058,M1,3,3,F2,2019/5/13,R1,No,1
C105110,3205,3205,M1,3,3,F2,2019/5/13,R1,No,1
C107100,4589,4589,M1,3,3,F2,2019/5/13,R1,No,1
C107774,2836,2836,M1,2,2,F1,2019/5/13,R1,No,1
C108220,1980,1980,M1,2,2,F1,2019/5/13,R1,No,1
C109254,3936,3936,M1,2,2,F1,2019/5/13,R1,No,1
C109628,2622,2622,M1,2,2,F1,2019/5/13,R1,No,1
C110696,2678,2678,M1,1,1,F1,2019/5/13,R1,Yes,1
C111364,3973,3973,M1,2,2,F1,2019/5/13,R1,No,1
C111512,3192,3192,M1,2,2,F1,2019/5/13,R1,No,1
C112130,2155,2155,M1,2,2,F1,2019/5/13,R1,No,1
C113968,1791,1791,M1,2,2,F1,2019/5/13,R1,No,1
C114544,4912,4912,M1,2,2,F1,2019/5/13,R1,No,1
C103268,8662,8662,M2,3,3,F2,2019/5/13,R1,No,1
C104816,9643,9643,M2,3,3,F2,2019/5/13,R1,No,1
C107724,9542,9542,M2,2,2,F1,2019/5/13,R1,No,1
C108456,6156,6156,M2,2,2,F1,2019/5/13,R1,No,1
C108680,6255,6255,M2,2,2,F1,2019/5/13,R1,No,1
C108954,7176,7176,M2,2,2,F1,2019/5/13,R1,No,1
C109180,6868,6868,M2,2,2,F1,2019/5/13,R1,No,1
C109954,9225,9225,M2,2,2,F1,2019/5/13,R1,No,1
C110018,6479,6479,M2,2,2,F1,2019/5/13,R1,No,1
C110252,6378,6378,M2,2,2,F1,2019/5/13,R1,No,1
C110378,8473,8473,M2,2,2,F1,2019/5/13,R1,No,1
C110798,8500,8500,M2,2,2,F1,2019/5/13,R1,No,1
C111244,5898,5898,M2,2,2,F1,2019/5/13,R1,No,1
C111774,9763,9763,M2,2,2,F1,2019/5/13,R1,No,1
C111794,5590,5590,M2,2,2,F1,2019/5/13,R1,No,1
C111814,5762,5762,M2,2,2,F1,2019/5/13,R1,No,1
C112536,7953,7953,M2,2,2,F1,2019/5/13,R1,No,1
C112586,7856,7856,M2,2,2,F1,2019/5/13,R1,No,1
C112894,8213,8213,M2,2,2,F1,2019/5/13,R1,No,1
C113302,7880,7880,M2,2,2,F1,2019/5/13,R1,No,1
C113434,8131,8131,M2,2,2,F1,2019/5/13,R1,No,1
C113668,8376,8376,M2,2,2,F1,2019/5/13,R1,No,1
C114080,5320,5320,M2,2,2,F1,2019/5/13,R1,No,1
C114482,8549,8549,M2,2,2,F1,2019/5/13,R1,No,1
C100342,15975,15975,M3,4,4,F3,2019/5/13,R1,No,1
C100372,18318,18318,M3,4,4,F3,2019/5/13,R1,No,1
C100934,14880,14880,M3,4,4,F3,2019/5/13,R1,No,1
C102140,11020,11020,M3,3,3,F2,2019/5/13,R1,No,1
C102526,13691,13691,M3,3,3,F2,2019/5/13,R1,No,1
C102894,18820,18820,M3,3,3,F2,2019/5/13,R1,No,1
C103772,12877,12877,M3,3,3,F2,2019/5/13,R1,No,1
C104420,14833,14833,M3,3,3,F2,2019/5/13,R1,No,1
C104436,14150,14150,M3,3,3,F2,2019/5/13,R1,No,1
C104590,16786,16786,M3,3,3,F2,2019/5/13,R1,No,1
C104908,14159,14159,M3,3,3,F2,2019/5/13,R1,No,1
C105120,11140,11140,M3,3,3,F2,2019/5/13,R1,No,1
C105260,13402,13402,M3,3,3,F2,2019/5/13,R1,No,1
C105402,14284,14284,M3,3,3,F2,2019/5/13,R1,No,1
C106214,16724,16724,M3,3,3,F2,2019/5/13,R1,No,1
C106376,15642,15642,M3,3,3,F2,2019/5/13,R1,No,1
C106798,10495,10495,M3,3,3,F2,2019/5/13,R1,No,1
C107260,18904,18904,M3,3,3,F2,2019/5/13,R1,No,1
C107948,17822,17822,M3,2,2,F1,2019/5/13,R1,No,1
C108138,15053,15053,M3,2,2,F1,2019/5/13,R1,No,1
C108256,16830,16830,M3,2,2,F1,2019/5/13,R1,No,1
C108952,12024,12024,M3,2,2,F1,2019/5/13,R1,No,1
C108970,11383,11383,M3,2,2,F1,2019/5/13,R1,No,1
C108978,13245,13245,M3,2,2,F1,2019/5/13,R1,No,1
C109198,13298,13298,M3,2,2,F1,2019/5/13,R1,No,1
C109510,14700,14700,M3,2,2,F1,2019/5/13,R1,No,1
C109512,12613,12613,M3,2,2,F1,2019/5/13,R1,No,1
C109676,18094,18094,M3,2,2,F1,2019/5/13,R1,No,1
C109760,17453,17453,M3,2,2,F1,2019/5/13,R1,No,1
C110382,12152,12152,M3,2,2,F1,2019/5/13,R1,No,1
C111064,11210,11210,M3,2,2,F1,2019/5/13,R1,No,1
C111090,11927,11927,M3,2,2,F1,2019/5/13,R1,No,1
C111162,10612,10612,M3,2,2,F1,2019/5/13,R1,No,1
C111248,11005,11005,M3,2,2,F1,2019/5/13,R1,No,1
C111388,10694,10694,M3,2,2,F1,2019/5/13,R1,No,1
C111408,12619,12619,M3,2,2,F1,2019/5/13,R1,No,1
C111868,13370,13370,M3,2,2,F1,2019/5/13,R1,No,1
C112036,15348,15348,M3,2,2,F1,2019/5/13,R1,No,1
C112258,10740,10740,M3,2,2,F1,2019/5/13,R1,No,1
C112604,13557,13557,M3,2,2,F1,2019/5/13,R1,No,1
C112954,16150,16150,M3,2,2,F1,2019/5/13,R1,No,1
C113058,16236,16236,M3,2,2,F1,2019/5/13,R1,No,1
C113084,14688,14688,M3,2,2,F1,2019/5/13,R1,No,1
C113708,13022,13022,M3,2,2,F1,2019/5/13,R1,No,1
C114572,17925,17925,M3,2,2,F1,2019/5/13,R1,No,1
C114594,10455,10455,M3,2,2,F1,2019/5/13,R1,No,1
C114818,16817,16817,M3,2,2,F1,2019/5/13,R1,No,1
C100500,27437,27437,M4,4,4,F3,2019/5/13,R1,No,1
C102680,21384,21384,M4,3,3,F2,2019/5/13,R1,No,1
C103968,24503,24503,M4,3,3,F2,2019/5/13,R1,No,1
C104488,20503,20503,M4,3,3,F2,2019/5/13,R1,No,1
C104656,26278,26278,M4,3,3,F2,2019/5/13,R1,No,1
C104732,26501,26501,M4,3,3,F2,2019/5/13,R1,No,1
C105168,22396,22396,M4,3,3,F2,2019/5/13,R1,No,1
C105208,29373,29373,M4,4,4,F3,2019/5/13,R1,No,1
C105284,23169,23169,M4,3,3,F2,2019/5/13,R1,No,1
C105594,26228,26228,M4,3,3,F2,2019/5/13,R1,No,1
C105826,27161,27161,M4,3,3,F2,2019/5/13,R1,No,1
C106032,27144,27144,M4,3,3,F2,2019/5/13,R1,No,1
C106762,21117,21117,M4,3,3,F2,2019/5/13,R1,No,1
C106930,22044,22044,M4,3,3,F2,2019/5/13,R1,No,1
C106968,27633,27633,M4,3,3,F2,2019/5/13,R1,No,1
C107496,20648,20648,M4,3,3,F2,2019/5/13,R1,No,1
C107846,27324,27324,M4,2,2,F1,2019/5/13,R1,No,1
C107884,22843,22843,M4,2,2,F1,2019/5/13,R1,No,1
C108278,29006,29006,M4,2,2,F1,2019/5/13,R1,No,1
C108768,21397,21397,M4,2,2,F1,2019/5/13,R1,No,1
C109390,29121,29121,M4,2,2,F1,2019/5/13,R1,No,1
C109830,29997,29997,M4,2,2,F1,2019/5/13,R1,No,1
C110302,27202,27202,M4,2,2,F1,2019/5/13,R1,No,1
C110326,23835,23835,M4,2,2,F1,2019/5/13,R1,No,1
C110468,20088,20088,M4,2,2,F1,2019/5/13,R1,No,1
C110840,20264,20264,M4,2,2,F1,2019/5/13,R1,No,1
C111292,20108,20108,M4,2,2,F1,2019/5/13,R1,No,1
C111352,21027,21027,M4,2,2,F1,2019/5/13,R1,No,1
C111678,25046,25046,M4,2,2,F1,2019/5/13,R1,No,1
C111858,23767,23767,M4,2,2,F1,2019/5/13,R1,No,1
C111998,28591,28591,M4,2,2,F1,2019/5/13,R1,No,1
C112524,20269,20269,M4,2,2,F1,2019/5/13,R1,No,1
C112668,25480,25480,M4,2,2,F1,2019/5/13,R1,No,1
C112716,22340,22340,M4,2,2,F1,2019/5/13,R1,No,1
C112818,20624,20624,M4,2,2,F1,2019/5/13,R1,No,1
C112878,23412,23412,M4,2,2,F1,2019/5/13,R1,No,1
C113392,22036,22036,M4,2,2,F1,2019/5/13,R1,No,1
C113522,29190,29190,M4,2,2,F1,2019/5/13,R1,No,1
C113746,22630,22630,M4,2,2,F1,2019/5/13,R1,No,1
C114156,23776,23776,M4,2,2,F1,2019/5/13,R1,No,1
C114386,22092,22092,M4,2,2,F1,2019/5/13,R1,No,1
C114440,22136,22136,M4,2,2,F1,2019/5/13,R1,No,1
C114620,20746,20746,M4,2,2,F1,2019/5/13,R1,No,1
C114738,22959,22959,M4,2,2,F1,2019/5/13,R1,No,1
C100792,48323,48323,M5,4,4,F3,2019/5/13,R1,No,1
C100806,49300,49300,M5,4,4,F3,2019/5/13,R1,No,1
C100896,40221,40221,M5,4,4,F3,2019/5/13,R1,No,1
C101258,42023,42023,M5,4,4,F3,2019/5/13,R1,No,1
C102318,33469,33469,M5,3,3,F2,2019/5/13,R1,No,1
C104118,50711,50711,M5,3,3,F2,2019/5/13,R1,No,1
C104896,30583,30583,M5,3,3,F2,2019/5/13,R1,No,1
C105072,35899,35899,M5,3,3,F2,2019/5/13,R1,No,1
C105074,39314,39314,M5,3,3,F2,2019/5/13,R1,No,1
C106130,40724,40724,M5,3,3,F2,2019/5/13,R1,No,1
C106274,30934,30934,M5,3,3,F2,2019/5/13,R1,No,1
C107126,34657,34657,M5,3,3,F2,2019/5/13,R1,No,1
C107146,51710,51710,M5,3,3,F2,2019/5/13,R1,No,1
C107620,40637,40637,M5,3,3,F2,2019/5/13,R1,No,1
C107978,34208,34208,M5,2,2,F1,2019/5/13,R1,No,1
C112122,30975,30975,M5,2,2,F1,2019/5/13,R1,No,1
C114630,34684,34684,M5,2,2,F1,2019/5/13,R1,No,1
C107812,3359,3359,M1,2,2,F1,2019/5/14,R1,No,1
C107990,4498,4498,M1,2,2,F1,2019/5/14,R1,No,1
C108260,3951,3951,M1,2,2,F1,2019/5/14,R1,No,1
C108570,1367,1367,M1,2,2,F1,2019/5/14,R1,No,1
C108892,1111,1111,M1,2,2,F1,2019/5/14,R1,No,1
C109900,3894,3894,M1,2,2,F1,2019/5/14,R1,No,1
C110726,3600,3600,M1,2,2,F1,2019/5/14,R1,No,1
C110740,3903,3903,M1,2,2,F1,2019/5/14,R1,No,1
C111594,4420,4420,M1,2,2,F1,2019/5/14,R1,No,1
C112614,3532,3532,M1,2,2,F1,2019/5/14,R1,No,1
C113018,3542,3542,M1,2,2,F1,2019/5/14,R1,No,1
C113162,2952,2952,M1,2,2,F1,2019/5/14,R1,No,1
C113186,2583,2583,M1,2,2,F1,2019/5/14,R1,No,1
C114224,406,406,M1,2,2,F1,2019/5/14,R1,No,1
C114746,682,682,M1,2,2,F1,2019/5/14,R1,No,1
C114824,4046,4046,M1,2,2,F1,2019/5/14,R1,No,1
C114834,4512,4512,M1,2,2,F1,2019/5/14,R1,No,1
C101856,8043,8043,M2,3,3,F2,2019/5/14,R1,No,1
C101908,6500,6500,M2,3,3,F2,2019/5/14,R1,No,1
C103018,8548,8548,M2,3,3,F2,2019/5/14,R1,No,1
C103838,7735,7735,M2,3,3,F2,2019/5/14,R1,No,1
C105994,6957,6957,M2,3,3,F2,2019/5/14,R1,No,1
C107078,7588,7588,M2,3,3,F2,2019/5/14,R1,No,1
C108242,6974,6974,M2,2,2,F1,2019/5/14,R1,No,1
C108274,9782,9782,M2,2,2,F1,2019/5/14,R1,No,1
C108406,8329,8329,M2,2,2,F1,2019/5/14,R1,No,1
C109140,9302,9302,M2,2,2,F1,2019/5/14,R1,No,1
C110024,6072,6072,M2,2,2,F1,2019/5/14,R1,No,1
C110476,7570,7570,M2,2,2,F1,2019/5/14,R1,No,1
C110520,8849,8849,M2,2,2,F1,2019/5/14,R1,No,1
C111192,6605,6605,M2,2,2,F1,2019/5/14,R1,No,1
C111306,6368,6368,M2,2,2,F1,2019/5/14,R1,No,1
C111590,6751,6751,M2,2,2,F1,2019/5/14,R1,No,1
C111648,6933,6933,M2,2,2,F1,2019/5/14,R1,No,1
C111720,8893,8893,M2,2,2,F1,2019/5/14,R1,No,1
C111806,8677,8677,M2,2,2,F1,2019/5/14,R1,No,1
C112314,7056,7056,M2,2,2,F1,2019/5/14,R1,No,1
C112780,8284,8284,M2,2,2,F1,2019/5/14,R1,No,1
C113114,7276,7276,M2,2,2,F1,2019/5/14,R1,No,1
C113798,5209,5209,M2,2,2,F1,2019/5/14,R1,No,1
C113888,5346,5346,M2,2,2,F1,2019/5/14,R1,No,1
C114162,6864,6864,M2,2,2,F1,2019/5/14,R1,No,1
C114448,8191,8191,M2,2,2,F1,2019/5/14,R1,No,1
C114750,7734,7734,M2,2,2,F1,2019/5/14,R1,No,1
C101916,15396,15396,M3,3,3,F2,2019/5/14,R1,No,1
C102286,15300,15300,M3,3,3,F2,2019/5/14,R1,No,1
C102406,11042,11042,M3,3,3,F2,2019/5/14,R1,No,1
C102738,19610,19610,M3,3,3,F2,2019/5/14,R1,No,1
C103532,17445,17445,M3,3,3,F2,2019/5/14,R1,No,1
C103706,13480,13480,M3,3,3,F2,2019/5/14,R1,No,1
C104188,15632,15632,M3,3,3,F2,2019/5/14,R1,No,1
C104260,12316,12316,M3,3,3,F2,2019/5/14,R1,No,1
C104780,17129,17129,M3,3,3,F2,2019/5/14,R1,No,1
C105174,18320,18320,M3,3,3,F2,2019/5/14,R1,No,1
C105356,18408,18408,M3,3,3,F2,2019/5/14,R1,No,1
C106004,15321,15321,M3,3,3,F2,2019/5/14,R1,No,1
C106286,14736,14736,M3,3,3,F2,2019/5/14,R1,No,1
C106330,16644,16644,M3,3,3,F2,2019/5/14,R1,No,1
C106582,19059,19059,M3,3,3,F2,2019/5/14,R1,No,1
C106944,18070,18070,M3,3,3,F2,2019/5/14,R1,No,1
C107006,17011,17011,M3,3,3,F2,2019/5/14,R1,No,1
C107256,15929,15929,M3,3,3,F2,2019/5/14,R1,No,1
C107532,17253,17253,M3,3,3,F2,2019/5/14,R1,No,1
C107550,18862,18862,M3,3,3,F2,2019/5/14,R1,No,1
C107798,11171,11171,M3,2,2,F1,2019/5/14,R1,No,1
C108376,12825,12825,M3,2,2,F1,2019/5/14,R1,No,1
C108488,12728,12728,M3,2,2,F1,2019/5/14,R1,No,1
C108554,12398,12398,M3,2,2,F1,2019/5/14,R1,No,1
C108588,17421,17421,M3,2,2,F1,2019/5/14,R1,No,1
C108844,18805,18805,M3,2,2,F1,2019/5/14,R1,No,1
C109210,13836,13836,M3,2,2,F1,2019/5/14,R1,No,1
C109298,14694,14694,M3,2,2,F1,2019/5/14,R1,No,1
C109538,10319,10319,M3,2,2,F1,2019/5/14,R1,No,1
C109700,13505,13505,M3,2,2,F1,2019/5/14,R1,No,1
C110160,10831,10831,M3,2,2,F1,2019/5/14,R1,No,1
C110320,11356,11356,M3,2,2,F1,2019/5/14,R1,No,1
C110448,13447,13447,M3,2,2,F1,2019/5/14,R1,No,1
C110612,16570,16570,M3,2,2,F1,2019/5/14,R1,No,1
C110668,17146,17146,M3,1,1,F1,2019/5/14,R1,Yes,1
C111042,17433,17433,M3,2,2,F1,2019/5/14,R1,No,1
C111088,16425,16425,M3,2,2,F1,2019/5/14,R1,No,1
C111314,10854,10854,M3,2,2,F1,2019/5/14,R1,No,1
C111342,12546,12546,M3,2,2,F1,2019/5/14,R1,No,1
C111362,18125,18125,M3,2,2,F1,2019/5/14,R1,No,1
C111498,11391,11391,M3,2,2,F1,2019/5/14,R1,No,1
C111656,14859,14859,M3,2,2,F1,2019/5/14,R1,No,1
C111778,14949,14949,M3,2,2,F1,2019/5/14,R1,No,1
C112070,13093,13093,M3,2,2,F1,2019/5/14,R1,No,1
C112218,13795,13795,M3,2,2,F1,2019/5/14,R1,No,1
C112406,11109,11109,M3,2,2,F1,2019/5/14,R1,No,1
C112438,14877,14877,M3,2,2,F1,2019/5/14,R1,No,1
C112776,16475,16475,M3,2,2,F1,2019/5/14,R1,No,1
C113132,19405,19405,M3,2,2,F1,2019/5/14,R1,No,1
C113574,10680,10680,M3,2,2,F1,2019/5/14,R1,No,1
C113600,18836,18836,M3,2,2,F1,2019/5/14,R1,No,1
C114004,12826,12826,M3,2,2,F1,2019/5/14,R1,No,1
C114394,13628,13628,M3,2,2,F1,2019/5/14,R1,No,1
C114492,12692,12692,M3,2,2,F1,2019/5/14,R1,No,1
C114536,16027,16027,M3,2,2,F1,2019/5/14,R1,No,1
C114588,13822,13822,M3,2,2,F1,2019/5/14,R1,No,1
C114604,11446,11446,M3,2,2,F1,2019/5/14,R1,No,1
C100766,27829,27829,M4,4,4,F3,2019/5/14,R1,No,1
C101248,24334,24334,M4,4,4,F3,2019/5/14,R1,No,1
C101922,24219,24219,M4,3,3,F2,2019/5/14,R1,No,1
C104384,26478,26478,M4,3,3,F2,2019/5/14,R1,No,1
C104804,28011,28011,M4,3,3,F2,2019/5/14,R1,No,1
C105044,23654,23654,M4,3,3,F2,2019/5/14,R1,No,1
C105102,27374,27374,M4,3,3,F2,2019/5/14,R1,No,1
C105716,25546,25546,M4,3,3,F2,2019/5/14,R1,No,1
C105874,26866,26866,M4,3,3,F2,2019/5/14,R1,No,1
C106426,21208,21208,M4,3,3,F2,2019/5/14,R1,No,1
C106460,20530,20530,M4,3,3,F2,2019/5/14,R1,No,1
C106866,27278,27278,M4,3,3,F2,2019/5/14,R1,No,1
